Time	 Wall Temp	 Sample Temp
2026-05-04 13:15:16.815250	 297.0201	 297.5213
2026-05-04 13:15:17.856746	 297.123	 297.7917
2026-05-04 13:15:18.892043	 297.134	 297.4619
2026-05-04 13:15:19.919136	 297.134	 297.4949
2026-05-04 13:15:20.969849	 297.1009	 297.6489
2026-05-04 13:15:22.013380	 297.0642	 297.5653
2026-05-04 13:15:23.063571	 297.1758	 297.4509
2026-05-04 13:15:24.100755	 296.9907	 297.4069
2026-05-04 13:15:25.123075	 297.134	 297.4839
2026-05-04 13:15:26.146381	 297.1119	 297.4069
2026-05-04 13:15:27.169852	 297.2729	 297.5279
2026-05-04 13:15:28.206816	 296.785	 297.4685
2026-05-04 13:15:29.229469	 297.0877	 297.4069
2026-05-04 13:15:30.252801	 297.2662	 297.6049
2026-05-04 13:15:31.274175	 297.2001	 297.4729
2026-05-04 13:15:32.298369	 297.123	 297.6818
2026-05-04 13:15:33.320512	 297.1053	 297.7038
2026-05-04 13:15:34.343808	 297.2111	 297.4157
2026-05-04 13:15:35.366899	 297.2111	 297.4949
2026-05-04 13:15:36.388171	 297.156	 297.6928
2026-05-04 13:15:37.410986	 297.2222	 297.8138
2026-05-04 13:15:38.630602	 297.3984	 297.6928
2026-05-04 13:15:39.666048	 297.0701	 297.5169
2026-05-04 13:15:40.702969	 297.2993	 297.5477
2026-05-04 13:15:41.725258	 297.1582	 297.352
2026-05-04 13:15:42.748562	 297.1891	 297.363
2026-05-04 13:15:43.770982	 297.2442	 297.5059
2026-05-04 13:15:44.794427	 297.3434	 297.5279
2026-05-04 13:15:45.835363	 297.264	 297.6818
2026-05-04 13:15:46.871640	 297.2552	 297.7764
2026-05-04 13:15:47.894100	 297.1582	 297.7588
2026-05-04 13:15:48.917314	 297.3323	 297.8577
2026-05-04 13:15:49.939835	 297.0348	 297.6708
2026-05-04 13:15:50.978235	 297.1494	 297.5938
2026-05-04 13:15:52.033119	 297.2258	 297.7148
2026-05-04 13:15:53.071809	 297.2288	 297.7808
2026-05-04 13:15:54.093919	 297.2883	 297.7038
2026-05-04 13:15:55.116847	 297.2552	 297.5389
2026-05-04 13:15:56.139688	 297.2883	 297.9567
2026-05-04 13:15:57.160802	 297.4756	 297.5499
2026-05-04 13:15:58.184216	 297.4756	 297.9787
2026-05-04 13:15:59.209240	 297.2816	 297.6488
2026-05-04 13:16:00.246670	 297.0789	 297.9017
2026-05-04 13:16:01.284489	 297.3544	 297.6268
2026-05-04 13:16:02.308323	 297.1891	 297.6158
2026-05-04 13:16:03.344920	 297.2375	 297.6928
2026-05-04 13:16:04.367132	 297.3434	 297.7236
2026-05-04 13:16:05.389716	 297.4668	 297.6378
2026-05-04 13:16:06.412988	 297.4976	 297.8357
2026-05-04 13:16:07.436220	 297.4205	 297.8028
2026-05-04 13:16:08.460558	 297.2001	 297.7478
2026-05-04 13:16:09.498442	 297.3081	 297.6378
2026-05-04 13:16:10.537850	 297.1964	 297.7852
2026-05-04 13:16:11.574293	 297.3257	 298.2756
2026-05-04 13:16:12.598582	 297.4976	 297.9017
2026-05-04 13:16:13.638064	 297.4205	 297.5829
2026-05-04 13:16:14.675437	 297.3654	 297.7698
2026-05-04 13:16:15.712822	 297.2816	 297.6708
2026-05-04 13:16:16.737678	 297.4756	 297.9699
2026-05-04 13:16:17.774843	 297.2552	 298.0447
2026-05-04 13:16:18.798996	 297.3103	 297.8467
2026-05-04 13:16:19.838487	 297.3323	 297.7148
2026-05-04 13:16:20.896577	 297.3522	 297.7478
2026-05-04 13:16:21.929997	 297.3875	 297.7478
2026-05-04 13:16:22.953306	 297.5373	 297.7808
2026-05-04 13:16:23.991577	 297.4866	 297.9237
2026-05-04 13:16:25.015446	 297.3434	 297.7038
2026-05-04 13:16:26.068493	 297.3654	 297.9127
2026-05-04 13:16:27.091941	 297.2993	 297.6158
2026-05-04 13:16:28.129588	 297.3727	 297.8731
2026-05-04 13:16:29.153607	 297.2464	 297.9567
2026-05-04 13:16:30.193490	 297.4646	 298.0226
2026-05-04 13:16:31.230423	 297.4646	 298.2206
2026-05-04 13:16:32.267930	 297.5197	 297.9567
2026-05-04 13:16:33.291420	 297.4492	 298.0007
2026-05-04 13:16:34.329869	 297.3287	 297.7939
